わざ名,配布対象,タイプ,いりょく,めいちゅう,PP,ぶんるい,接触/非接触,効果
トーチカ,いっくん、まこっちゃん,どく,-,-,10,変化,非接触,"必ず先制でき(優先度:+4)、そのターンの間、相手の攻撃を防ぐと同時に、
直接攻撃をした相手を『どく』状態にする。連続で使うと失敗しやすくなる。
ダイマックス技や第7世代のZワザの攻撃技は貫通し、1/4のダメージを受ける。"
とぐろをまく,ぶっちー、にしき、れおさん,どく,-,-,20,変化,非接触,自分の『こうげき』『ぼうぎょ』『命中率』ランクが1段階ずつ上がる。
とける,にしき、いっくん、まこっちゃん,どく,-,-,20,変化,非接触,自分の『ぼうぎょ』ランクを2段階上げる。
どくガス,いっくん,どく,-,90,40,変化,非接触,相手を『どく』状態にする。『どく』タイプや『はがね』タイプには無効。
どくどく,もりみつ、うめ、とうま、あゆま、みっちー、いっくん、まこっちゃん,どく,-,90,10,変化,非接触,"相手を『もうどく』状態にする。『もうどく』状態は通常の『どく』状態と違い、
受けるダメージが1/16、2/16、3/16・・・と増えていく。『どく』タイプのポケモンが使うと必ず命中する。
『どく』タイプや『はがね』タイプには無効。"
どくのこな,たつた、まこっちゃん,どく,-,75,35,変化,非接触,"相手を『どく』状態にする。『どく』タイプや『はがね』タイプ、『くさ』タイプ、特性『ぼうじん』、
道具『ぼうじんゴーグル』を持っているポケモンには無効。"
どくびし,うめ、みっちー、いっくん、まこっちゃん,どく,-,-,20,変化,非接触,"相手の場を『どくびし』状態にし、相手はポケモンを交代する度に、出したポケモンが『どく』状態になる。
2回使うと『もうどく』状態になる。『どく』『はがね』『ひこう』タイプ、
特性『ふゆう』のポケモンは効果を受けない。『どく』タイプのポケモンが出ると効果がなくなる。"
クロスポイズン,いっくん、まこっちゃん,どく,70,100,20,物理,接触,10%の確率で相手を『どく』状態にする。急所に当たりやすい(急所ランク:+1)。
ダストシュート,もりみつ、はるた、いっくん,どく,120,80,5,物理,非接触,30%の確率で相手を『どく』状態にする。
どくづき,もりみつ、とうま、みっちー、まこっちゃん,どく,80,100,20,物理,接触,30%の確率で相手を『どく』状態にする。
どくどくのキバ,うめ、いっくん,どく,80,100,20,物理,接触,"50%の確率で相手を『もうどく』状態にする。『もうどく』状態は通常の『どく』状態と違い、
受けるダメージが1/16、2/16、3/16・・・と増えていく。"
アシッドボム,たつた、いっくん、まこっちゃん,どく,40,100,20,特殊,非接触,100%の確率で相手の『とくぼう』ランクを2段階下げる。
クリアスモッグ,ぶっちー、まこっちゃん,どく,50,-,15,特殊,非接触,相手の能力ランクの変化を元に戻す。
ゲップ,もりもり、いっくん,どく,120,90,10,特殊,非接触,この技は『きのみ』を食べると使えるようになる。
ヘドロばくだん,もりもり、いっくん、れおさん,どく,90,100,10,特殊,非接触,30%の確率で相手を『どく』状態にする。
ベノムショック,たつた、まこっちゃん,どく,65,100,10,特殊,非接触,相手が『どく』状態の時、威力が2倍になる。
ようかいえき,もりもり、いっくん,どく,40,100,30,特殊,非接触,10%の確率で相手の『とくぼう』ランクを1段階下げる。
すなかけ,もりみつ、うめ、とうま、れおさん,じめん,-,100,15,変化,非接触,相手の命中率を1段階下げる。
まきびし,もりみつ、うめ、もりもり、みっちー,じめん,-,-,20,変化,非接触,"使用後、相手はポケモンを交代する度にダメージを受ける。
3回まで使うことができ、1回の時は相手の最大HPの1/8、2回の時は相手の最大HPの1/6、
3回の時は相手の最大HPの1/4のダメージを与える。
『ひこう』タイプ、特性『ふゆう』のポケモンはダメージを受けない。"
あなをほる,えいらく、たつた、もりもり、あゆま、いっくん,じめん,80,100,10,物理,接触,"1ターン目に地中に潜り、2ターン目に攻撃する。
地中にいる間は『じしん』『マグニチュード』以外の技を受けない。"
じしん,まちだ、もりもり,じめん,100,100,10,物理,非接触,相手が技『あなをほる』を使っている時でも命中し、ダメージが2倍になる。
じだんだ,"えいらく、もりみつ、うめ、もりもり、あゆま、はるた、まっちゃん、せな、いっくん
",じめん,75,100,10,物理,接触,"前のターンで自分が使った技が外れたり失敗したり、
『まひ』『こんらん』『ひるみ』状態などで行動できなかった場合、威力が2倍になる。"
じならし,まちだ、もりもり,じめん,60,100,20,物理,非接触,100%の確率で相手の『すばやさ』ランクを1段階下げる。
10まんばりき,えいらく、まちだ、まっちゃん,じめん,95,95,10,物理,接触,通常攻撃。
じわれ,まちだ、もりもり,じめん,-,30,5,物理,非接触,"相手を『ひんし』状態にする。相手のレベルが自分より高いと失敗する。
(30＋自分のレベル－相手のレベル)が命中率になる。『ひこう』タイプには無効だが、
それ以外のタイプ相性の影響を受けない。ダイマックスしている相手には無効。"
すなじごく,いっくん,じめん,35,85,15,物理,非接触,"	4～5ターンの間、毎ターン終了後最大HPの1/8のダメージを与え、
その間『ゴースト』タイプではない相手は逃げたり交代できない。"
ドリルライナー,まちだ、もりもり、せな,じめん,80,95,10,物理,接触,急所に当たりやすい(急所ランク:+1)。
ぶちかまし,まちだ、もりもり、せな、いっくん,,120,100,5,物理,接触,"攻撃後、自分の『ぼうぎょ』『とくぼう』ランクが1段階ずつ下がる。
特性『てつのこぶし』の時、威力が1.2倍になる。"
ボーンラッシュ,"たつた、もりみつ、うめ、まちだ、とうま、もりもり、はるた、まっちゃん
",じめん,25,90,10,物理,非接触,1ターンに2～5回連続で攻撃する。
だいちのちから,まちだ、もりもり、れおさん,じめん,90,100,10,特殊,非接触,10%の確率で相手の『とくぼう』ランクを1段階下げる。
どろかけ,もりみつ、うめ、とうま、もりもり、れおさん,じめん,20,100,10,特殊,非接触,100%の確率で相手の命中率を1段階下げる。
ねっさのあらし,まちだ、もりもり,じめん,100,80,10,特殊,非接触,20%の確率で相手を『やけど』状態にする。天気が『あめ』の時は必ず命中する。
ねっさのだいち,まちだ、もりもり、いっくん,じめん,70,100,10,特殊,非接触,"30%の確率で相手を『やけど』状態にする。
自分が『こおり』状態の時でも使う事ができ、使うと『こおり』状態が治る。"
マッドショット,もりみつ、うめ、まちだ、とうま、もりもり、れおさん,じめん,55,95,15,特殊,非接触,100%の確率で相手の『すばやさ』ランクを1段階下げる。
ステルスロック,もりみつ、たかほ、うめ、とうま、もりもり、ともき、みっちー、いっくん,いわ,-,-,20,変化,非接触,"使用後、相手はポケモンを交代する度に、出てきたポケモンは最大HPの1/8のダメージを受ける。
『タイプ』相性の影響を受け、例えば4倍弱点の場合は最大HPの1/2のダメージとなる。"
すなあらし,いっくん,いわ,-,-,10,変化,非接触,"5ターンの間、天気を『すなあらし』にする。『いわ』『じめん』『はがね』タイプではないポケモンは、
毎ターン最大HPの1/16のダメージを受ける。また、『いわ』タイプのポケモンは『とくぼう』が1.5倍になる。"
ロックカット,たつた、たかほ、にしき、いっくん、まこっちゃん,いわ,-,-,20,変化,非接触,自分の『すばやさ』ランクが2段階上がる。
アクセルロック,たかほ、いっくん,いわ,40,100,20,物理,接触,必ず先制できる(優先度:+1)。
いわおとし,たかほ、とうま、いっくん,いわ,50,95,15,物理,非接触,通常攻撃。
いわなだれ,たかほ、とうま、いっくん,いわ,75,90,10,物理,非接触,30%の確率で相手をひるませる。
がんせきふうじ,たかほ、いっくん,いわ,60,95,15,物理,非接触,100%の確率で相手の『すばやさ』ランクを1段階下げる。
ころがる,たかほ、うめ、はるた、いっくん,いわ,30,90,20,物理,接触,"外れるまで5ターン連続で攻撃し、攻撃が当たる度に威力が倍増する(最大480)。
事前に技『まるくなる』を使っていると威力が2倍になる。"
ストーンエッジ,えいらく、たかほ、いっくん,いわ,100,80,5,物理,非接触,急所に当たりやすい(急所ランク:+1)。
ロックブラスト,たかほ、いっくん,いわ,25,90,10,物理,非接触,1ターンに2～5回連続で攻撃する。
げんしのちから,れおさん,いわ,60,100,5,特殊,非接触,10%の確率で自分の『こうげき』『ぼうぎょ』『とくこう』『とくぼう』『すばやさ』ランクが1段階ずつ上がる。
パワージェム,たかほ、いっくん,いわ,80,100,20,特殊,非接触,通常攻撃。
メテオビーム,たつた、たかほ、いっくん,いわ,120,90,10,特殊,非接触,1ターン目に100%の確率で自分の『とくこう』ランクを1段階上げ、2ターン目で攻撃する。
いとをはく,えいらく、もりみつ、とうま、ぶっちー、みっちー、いっくん、れおさん,むし,-,95,40,変化,非接触,相手の『すばやさ』ランクを2段階下げる。
ちょうのまい,ぶっちー、ふうと、れおさん,むし,-,-,10,変化,非接触,自分の『とくこう』『とくぼう』『すばやさ』ランクが1段階ずつ上がる。
ねばねばネット,えいらく、もりみつ、うめ、とうま、ぶっちー、みっちー、いっくん、れおさん,むし,-,-,20,変化,非接触,"使用後、相手はポケモンを交代する度に、出てきたポケモンの『すばやさ』ランクが1段階下がる。
『ひこう』タイプや特性『ふゆう』のポケモンは影響を受けない。"
ほたるび,ぶっちー,むし,-,-,20,変化,非接触,自分の『とくこう』ランクが3段階上がる。
きゅうけつ,うめ、れおさん,むし,80,100,10,物理,接触,相手に与えたダメージの半分だけ自分のHPが回復する。
シザークロス,とうま、はるた,むし,80,100,15,物理,接触,通常攻撃。
であいがしら,えいらく、たかほ、にしき、せな、れおさん,むし,90,100,10,物理,接触,必ず先制できる(優先度:+2)。ただし、出た最初のターンしか成功しない。
とどめばり,ぶっちー、れおさん,むし,50,100,25,物理,接触,この技で相手を倒すと、自分の『こうげき』ランクが3段階上がる。
とびかかる,"もりみつ、うめ、とうま、もりもり、あゆま、ぶっちー、はるた、まっちゃん、ふうと、
れおさん",むし,80,100,15,物理,接触,100%の確率で相手の『こうげき』ランクを1段階下げる。
とんぼがえり,"えいらく、たつた、もりみつ、たかほ、うめ、まちだ、もりもり、あゆま、ぶっちー、
ともき、はるた、まっちゃん、みっちー、にしき、せな、いっくん、ふうと、れおさん",むし,70,100,20,物理,接触,攻撃後、手持ちのポケモンと入れ替わる。
ミサイルばり,もりみつ、ぶっちー、れおさん,むし,25,95,20,物理,非接触,1ターンに2～5回連続で攻撃する。
メガホーン,ぶっちー、ふうと、れおさん,むし,120,85,10,物理,接触,通常攻撃。
れんぞくぎり,とうま、ぶっちー、いっくん,むし,40,95,20,物理,接触,"連続で使用すると攻撃が当たる度に威力が倍増していく(最大160)。
攻撃が外れたり連続で使用しないと元に戻る。"
かふんだんご,たつた、うめ、ぶっちー、ともき、れおさん,むし,90,100,15,特殊,非接触,味方に使った場合、ダメージではなく味方のHPを最大HPの1/2回復する。
まとわりつく,もりみつ、いっくん、れおさん,むし,20,100,20,特殊,非接触,"4～5ターンの間、毎ターン終了後最大HPの1/8のダメージを与え、
その間『ゴースト』タイプではない相手は逃げたり交代できない。"
むしのさざめき,ぶっちー、れおさん,むし,90,100,10,特殊,非接触,10%の確率で相手の『とくぼう』ランクを1段階下げる。音系の技。相手の『みがわり』状態を貫通する。
あやしいひかり,うめ、にしき、れおさん,ゴースト,-,100,10,変化,非接触,相手を1～4ターンの間『こんらん』状態にする。
のろい,れおさん,ゴースト,-,-,10,変化,非接触,"自分のタイプが『ゴースト』タイプの時は自分のHPを最大HPの半分だけ減らして、相手を『のろい』状態にする。
『のろい』状態になると毎ターン、HPが最大HPの1/4ずつ減る。
それ以外のポケモンの場合『すばやさ』ランクが1段階下がり、
『こうげき』『ぼうぎょ』ランクが1段階ずつ上がる。"
みちづれ,えいらく、もりみつ、うめ、とうま、ともき、みっちー、にしき、せな、れおさん,ゴースト,-,-,5,変化,非接触,"次の自分のターンまでに相手の攻撃で『ひんし』状態になると、相手も『ひんし』状態になる。
ダイマックスしている相手には効果がない。第7世代以降は、連続で使うと必ず失敗する。"
おどろかす,もりみつ、うめ、とうま、もりもり、あゆま、みっちー、いっくん,ゴースト,30,100,15,物理,接触,30%の確率で相手をひるませる。
かげうち,うめ、みっちー、にしき、れおさん,ゴースト,40,100,30,物理,接触,必ず先制できる(優先度:+1)。
かげぬい,うめ、みっちー、にしき、れおさん,ゴースト,80,100,10,物理,非接触,『ゴースト』タイプではない相手は逃げたり、交代できなくなる。自分が場を離れると効果は消える。
ゴーストダイブ,うめ、にしき、れおさん,ゴースト,90,100,10,物理,接触,"1ターン目に消えて、2ターン目に攻撃する。消えている間はほとんどの技を受けない。
相手の『まもる』『みきり』『たたみがえし』『トーチカ』『キングシールド』『ニードルガード』『ブロッキング』
『スレッドトラップ』『かえんのまもり』の効果を受けない(『ダイウォール』を除く)。"
したでなめる,れおさん,ゴースト,30,100,30,物理,接触,30%の確率で相手を『まひ』状態にする。
シャドークロー,うめ、にしき、れおさん,ゴースト,70,100,15,物理,接触,急所に当たりやすい(急所ランク:+1)。
シャドーパンチ,うめ、まっちゃん、にしき、れおさん,ゴースト,60,-,20,物理,接触,自分の命中率、相手の回避率に関係なく必ず命中する。特性『てつのこぶし』の時、威力が1.2倍になる。
ふんどのこぶし,うめ、まっちゃん、にしき、れおさん,ゴースト,50,100,10,物理,接触,"これまでに受けた攻撃1回につき、威力が50上がる(最大威力350)。手持ちに戻っても、リセットされない。
特性『てつのこぶし』の時、威力が1.2倍になる。"
ポルターガイスト,うめ、れおさん,ゴースト,110,90,5,物理,非接触,相手が道具を持っていない時は失敗する。なお、相手の道具を無効にする効果はない。
うらみつらみ,にしき,ゴースト,75,100,10,特殊,非接触,100%の確率で相手の『こうげき』ランクを1段階下げる。
シャドーボール,うめ、にしき、れおさん,ゴースト,80,100,15,特殊,非接触,20%の確率で相手の『とくぼう』ランクを1段階下げる。
シャドーレイ,うめ、にしき、れおさん,ゴースト,100,100,5,特殊,非接触,相手の特性の影響を受けずに攻撃する。
たたりめ,うめ、みっちー、にしき、せな、れおさん,ゴースト,65,100,10,特殊,非接触,相手が状態異常の時、威力が2倍になる。
きんぞくおん,えいらく、まちだ、とうま、あゆま、はるた、みっちー、せな、まこっちゃん,はがね,-,85,40,変化,非接触,音系の技。相手の『とくぼう』ランクを2段階下げる。
ギアチェンジ,あゆま、はるた、せな、まこっちゃん,はがね,-,-,10,変化,非接触,自分の『すばやさ』ランクが2段階、『こうげき』ランクが1段階上がる。
てっぺき,えいらく、まちだ、もりもり、あゆま、みっちー、せな,はがね,-,-,15,変化,非接触,自分の『ぼうぎょ』ランクを2段階上げる。
アイアンテール,あゆま、せな,はがね,100,75,15,物理,接触,30%の確率で相手の『ぼうぎょ』ランクを1段階下げる。
アイアンヘッド,あゆま、はるた、せな,はがね,80,100,15,物理,接触,30%の確率で相手をひるませる。
コメットパンチ,あゆま、まっちゃん、せな,はがね,90,90,10,物理,接触,20%の確率で自分の『こうげき』ランクが1段階上がる。特性『てつのこぶし』の時、威力が1.2倍になる。
ジャイロボール,えいらく、たつた、とうま、あゆま、はるた、せな,はがね,-,100,5,物理,接触,"相手より『すばやさ』が低いほど威力が高くなる。(25×相手のすばやさ÷自分のすばやさ)+1が威力になる。
ただし最大威力は150。小数点以下は切り捨て。"
スマートホーン,あゆま、せな,はがね,70,-,10,物理,接触,自分の命中率、相手の回避率に関係なく必ず命中する。
ハードプレス,もりもり、あゆま、せな、いっくん,はがね,-,100,10,物理,接触,相手の残りHPが多いほど威力が高くなる。(100×相手の残りHP÷相手の最大HP)が威力になる。
バレットパンチ,あゆま、まっちゃん、せな,はがね,40,100,30,物理,接触,必ず先制できる(優先度:+1)。特性『てつのこぶし』の時、威力が1.2倍になる。
ヘビーボンバー,もりもり、いっくん,はがね,-,100,10,物理,接触,"自分の『おもさ』が相手より重いほど威力が高くなる。
相手の『おもさ』が自分の1/5以下なら120、1/4以下なら100、1/3以下なら80、1/2以下なら60、
それより大きければ40。相手が技『ちいさくなる』を使用していると必ず命中し、威力が2倍になる(第7世代以降)。
ダイマックスしている相手には無効。"
メタルクロー,あゆま、せな,はがね,50,95,35,物理,接触,10%の確率で自分の『こうげき』ランクが1段階上がる。
ゴールドラッシュ,もりみつ,はがね,120,100,5,特殊,非接触,攻撃後、自分の『とくこう』ランクが1段階下がる。
タキオンカッター,あゆま、ぶっちー、はるた、まこっちゃん,はがね,50,-,10,特殊,非接触,1ターンに2回連続で攻撃する。自分の命中率、相手の回避率に関係なく必ず命中する。
てっていこうせん,あゆま、はるた,はがね,140,95,5,特殊,非接触,自分のHPを最大HPの半分だけ減らす。『まもる』などで技が防がれた場合も、自分のHPは減る。
はめつのめがい,れおさん,はがね,140,100,5,特殊,非接触,2ターン後に攻撃する。交代した場合は同じ位置にいるポケモンに攻撃する。タイプ相性の影響を受ける。
ラスターカノン,あゆま、せな、まこっちゃん,はがね,80,100,10,特殊,非接触,10%の確率で相手の『とくぼう』ランクを1段階下げる。
おにび,うめ、ぶっちー、にしき,ほのお,-,85,15,変化,非接触,相手を『やけど』状態にする。『ほのお』タイプには無効。
にほんばれ,はるた,ほのお,-,-,5,変化,非接触,"5ターンの間、天気を『にほんばれ』にする。『ほのお』タイプの技のダメージが1.5倍になり、
『みず』タイプの技のダメージが半減する。『こおり』状態にならない。"
かえんぐるま,もりみつ、ふうと,ほのお,60,100,25,物理,接触,"10%の確率で相手を『やけど』状態にする。
自分が『こおり』状態の時でも使う事ができ、使うと『こおり』状態が治る。"
かえんボール,もりみつ、まちだ、あゆま、はるた、みっちー、ふうと,ほのお,120,90,5,物理,非接触,"10%の確率で相手を『やけど』状態にする。
自分が『こおり』状態の時でも使う事ができ、使うと『こおり』状態が治る。"
せいなるほのお,ふうと,ほのお,100,95,5,物理,非接触,"50%の確率で相手を『やけど』状態にする。
自分が『こおり』状態の時でも使う事ができ、使うと『こおり』状態が治る。"
ニトロチャージ,もりみつ、まちだ、あゆま、ともき、はるた、まっちゃん、みっちー、ふうと,ほのお,50,100,20,物理,接触,100%の確率で自分の『すばやさ』ランクが1段階上がる。
フレアドライブ,もりみつ、ふうと,ほのお,120,100,15,物理,接触,"相手に与えたダメージの33%を自分も受ける。10%の確率で相手を『やけど』状態にする。
自分が『こおり』状態の時でも使う事ができ、使うと『こおり』状態が治る。"
ブレイズキック,もりみつ、まちだ、あゆま、はるた、みっちー、ふうと,ほのお,85,90,10,物理,接触,10%の確率で相手を『やけど』状態にする。急所に当たりやすい(急所ランク:+1)。
ほのおのキバ,もりみつ、ふうと,ほのお,65,95,15,物理,接触,10%の確率で相手を『やけど』状態にするか、ひるませる。
ほのおのパンチ,もりみつ、まっちゃん、ふうと,ほのお,75,100,15,物理,接触,10%の確率で相手を『やけど』状態にする。特性『てつのこぶし』の時、威力が1.2倍になる。
やけっぱち,もりみつ、もりもり、ふうと,ほのお,75,100,10,物理,接触,"前のターンで自分が使った技が外れたり失敗したり、
『まひ』『こんらん』『ひるみ』状態などで行動できなかった場合、威力が2倍になる。"
オーバーヒート,もりみつ、はるた、ふうと,ほのお,130,90,5,特殊,非接触,攻撃後、100%の確率で自分の『とくこう』ランクが2段階下がる。
かえんほうしゃ,もりみつ、ともき、ふうと,ほのお,90,100,15,特殊,非接触,10%の確率で相手を『やけど』状態にする。
しっとのほのお,えいらく、あゆま、にしき、れおさん,ほのお,70,100,5,特殊,非接触,"100%の確率で、そのターンの間に能力ランクが上がった相手ポケモンを『やけど』状態にする
(通常は後攻で攻撃する必要があるが、場に出た時に能力ランクが上がった場合も対象となる)。"
だいもんじ,もりみつ、まっちゃん、ふうと,ほのお,110,85,5,特殊,非接触,10%の確率で相手を『やけど』状態にする。
ねっぷう,もりみつ、たかほ、ふうと,ほのお,95,90,10,特殊,非接触,10%の確率で相手を『やけど』状態にする。
フレアソング,えいらく、たつた、ふうと,ほのお,80,100,10,特殊,非接触,100%の確率で自分の『とくこう』ランクを1段階上げる。音系の技。相手の『みがわり』状態を貫通する。
ふんか,もりみつ、もりもり、あゆま、ふうと,ほのお,150,100,5,特殊,非接触,自分のHPが少ないほど技の威力が下がる。(150×自分の残りHP÷自分の最大HP)が威力。
ほのおのうず,もりみつ、とうま、ふうと,ほのお,35,85,15,特殊,非接触,"4～5ターンの間、毎ターン終了後最大HPの1/8のダメージを与え、
その間『ゴースト』タイプではない相手は逃げたり交代できない。"
ほのおのまい,ふうと,ほのお,80,100,10,特殊,非接触,50%の確率で自分の『とくこう』ランクが1段階上がる。
マジカルフレイム,まちだ、ぶっちー、はるた、まこっちゃん,ほのお,75,100,10,特殊,非接触,100%の確率で相手の『とくこう』ランクを1段階下げる。
もえつきる,もりみつ、とうま、もりもり、はるた,ほのお,130,100,5,特殊,非接触,"攻撃後、自分は『ほのお』タイプではなくなる。自分が『ほのお』タイプではない時は失敗する。
自分が『こおり』状態の時でも使う事ができ、使うと『こおり』状態が治る。"
れんごく,あゆま,ほのお,100,50,5,特殊,非接触,100%の確率で相手を『やけど』状態にする。
アクアリング,えいらく、まちだ,みず,-,-,20,変化,非接触,使用後、毎ターン、HPが最大HPの1/16ずつ回復する。
あまごい,れおさん,みず,-,-,5,変化,非接触,"5ターンの間、天気を『あめ』にする。
『みず』タイプの技のダメージが1.5倍になり、『ほのお』タイプの技のダメージが半減する。"
からにこもる,もりもり、れおさん,みず,-,-,40,変化,非接触,自分の『ぼうぎょ』ランクを1段階上げる。
アクアカッター,えいらく、まちだ、とうま、ぶっちー,みず,70,100,20,物理,非接触,急所に当たりやすい(急所ランク:+1)。
アクアジェット,えいらく、まちだ,みず,40,100,20,物理,接触,必ず先制できる(優先度:+1)。
アクアステップ,えいらく、まちだ,みず,80,100,10,物理,接触,100%の確率で自分の『すばやさ』ランクが1段階上がる。
アクアテール,えいらく、まちだ,みず,90,90,10,物理,接触,通常攻撃。
アクアブレイク,えいらく、まちだ,みず,85,100,10,物理,接触,20%の確率で、相手の『ぼうぎょ』ランクを1段階下げる。
クイックターン,えいらく、まちだ、あゆま、まっちゃん,みず,60,100,20,物理,接触,攻撃後、手持ちのポケモンと入れ替わる。
ジェットパンチ,えいらく、まちだ、まっちゃん,みず,60,100,15,物理,接触,必ず先制できる(優先度:+1)。特性『てつのこぶし』の時、威力が1.2倍になる。
たきのぼり,えいらく、うめ、まちだ、みっちー、ふうと,みず,80,100,15,物理,接触,20%の確率で相手をひるませる。
ダイビング,もりみつ、たかほ、まちだ、あゆま、まっちゃん,みず,80,100,10,物理,接触,1ターン目に水中へ潜り、2ターン目に攻撃する。水中にいる間は『なみのり』『うずしお』以外の技を受けない。
うずしお,まちだ、みっちー、せな,みず,35,85,15,特殊,非接触,"4～5ターンの間、毎ターン終了後最大HPの1/8のダメージを与え、
その間『ゴースト』タイプではない相手は逃げたり交代できない。
相手が『ダイビング』を使っている時でも命中し、ダメージが2倍になる。"
うたかたのアリア,まこっちゃん,みず,90,100,10,特殊,非接触,相手の『やけど』状態を治す。音系の技。相手の『みがわり』状態を貫通する。
しおふき,えいらく、まちだ,みず,150,100,5,特殊,非接触,自分のHPが少ないほど技の威力が下がる。(150×自分の残りHP÷自分の最大HP)が威力。
だくりゅう,たつた、もりもり、いっくん,みず,90,85,10,特殊,非接触,30%の確率で相手の命中率を1段階下げる。
なみのり,えいらく、もりみつ、たかほ、まちだ、まっちゃん、れおさん,みず,90,100,15,特殊,非接触,相手が『ダイビング』を使っている時でも命中し、ダメージが2倍になる。
ねっとう,とうま,みず,80,100,15,特殊,非接触,"30%の確率で相手を『やけど』状態にする。
自分が『こおり』状態の時でも使う事ができ、使うと『こおり』状態が治る。また、相手の『こおり』状態を治す。"
ねらいうち,まちだ、あゆま、ともき、はるた,みず,80,100,15,特殊,非接触,急所に当たりやすい(急所ランク:+1)。
ハイドロポンプ,えいらく、まちだ,みず,110,80,5,特殊,非接触,通常攻撃。
バブルこうせん,えいらく、まちだ,みず,65,100,20,特殊,非接触,10%の確率で相手の『すばやさ』ランクを1段階下げる。
ひやみず,うめ,みず,50,100,20,特殊,非接触,100%の確率で相手の『こうげき』ランクを1段階下げる。
みずのはどう,えいらく、まちだ、れおさん,みず,60,100,20,特殊,非接触,20%の確率で相手を1～4ターンの間『こんらん』状態にする。
キノコのほうし,たつた、せな、いっくん,くさ,-,100,15,変化,非接触,"相手を2～4ターン(実質1～3ターン)の間『ねむり』状態にする。
『くさ』タイプや特性『ぼうじん』、道具『ぼうじんゴーグル』を持っているポケモンには無効。"
グラスフィールド,たつた、とうま、ぶっちー,くさ,-,-,10,変化,非接触,"5ターンの間、場の状態を『グラスフィールド』にする。
『ひこう』タイプや特性『ふゆう』などではない地面にいるすべてのポケモンは、毎ターン最大HPの1/16ずつ回復し、
また『くさ』タイプの技の威力が1.3倍になり(第7世代までは1.5倍)、技『じしん』『じならし』『マグニチュード』
の受けるダメージが半減する。道具『グラスシード』を持ったポケモンは『ぼうぎょ』ランクが1段階上がる。"
こうごうせい,たつた、たかほ,くさ,-,-,5,変化,非接触,"HPが、天気が通常の時は最大HPの1/2、『にほんばれ』の時は最大HPの2/3、
『あめ』『ゆき』『すなあらし』の時は最大HPの1/4回復する。"
コットンガード,たつた,くさ,,,,変化,非接触,自分の『ぼうぎょ』ランクが3段階上がる。
しびれごな,たつた、たかほ、はるた、まっちゃん、,くさ,-,75,30,変化,非接触,"相手を『まひ』状態にする。
『でんき』タイプや『くさ』タイプ、特性『ぼうじん』、『ぼうじんゴーグル』を持っているのポケモンには無効。"
ちからをすいとる,れおさん,くさ,-,100,10,変化,非接触,"相手の『こうげき』の能力値と同じ値だけ自分のHPを回復し、相手の『こうげき』ランクを1段階下げる。
特性などでランクが下がらない場合は、回復の効果のみ発動する。すでにランクが最低の場合は失敗する。"
なやみのタネ,たかほ、もりもり,くさ,-,100,10,変化,非接触,相手の特性を『ふみん』にする。ただし、『なまけ』『バトルスイッチ』など一部の固有な特性の場合は失敗する。
ねをはる,たつた、もりみつ、たかほ,くさ,-,-,20,変化,非接触,使用後、毎ターン、HPが最大HPの1/16ずつ回復するが、交代できなくなる。
やどりぎのタネ,たつた、たかほ,くさ,-,90,10,変化,非接触,"使用後、毎ターン、相手のHPを最大HPの1/8ずつ減らし、その分自分のHPを回復させる。
自分は交代しても効果が引き継ぐ。『くさ』タイプのポケモンには無効。"
わたほうし,たつた,くさ,-,100,40,変化,非接触,"相手の『すばやさ』ランクを2段階下げる。
『くさ』タイプや特性『ぼうじん』、道具『ぼうじんゴーグル』を持っているポケモンには無効。"
ウッドハンマー,たつた、たかほ,くさ,120,100,15,物理,接触,相手に与えたダメージの33%を自分も受ける。
ウッドホーン,たつた、たかほ,くさ,75,100,10,物理,接触,相手に与えたダメージの半分だけ自分のHPが回復する。
えだづき,もりみつ、もりもり,くさ,40,100,40,物理,接触,通常攻撃。
くさわけ,たつた、たかほ,くさ,50,100,20,物理,接触,100%の確率で自分の『すばやさ』ランクが1段階上がる。
グラススライダー,たつた、たかほ,くさ,55,100,20,物理,接触,"場の状態が『グラスフィールド』で、自分が『ひこう』タイプや特性『ふゆう』などではなく地面にいる時、
必ず先制できる(優先度:+1)。"
ソーラーブレード,たつた、はるた,くさ,125,100,10,物理,接触,"1ターン目は攻撃せずに、2ターン目で攻撃する。
天気が『にほんばれ』の時は1ターンためずに攻撃でき、『あめ』『ゆき』『すなあらし』の時は威力が半分になる。"
タネばくだん,たつた、たかほ,くさ,80,100,15,物理,非接触,通常攻撃。
タネマシンガン,まっちゃん,くさ,25,100,30,物理,接触,1ターンに2～5回連続で攻撃する。
つるのムチ,たつた、たかほ,くさ,45,100,25,物理,接触,通常攻撃。
はっぱカッター,たつた、たかほ、とうま、ぶっちー,くさ,55,95,25,物理,非接触,急所に当たりやすい(急所ランク:+1)。
はなふぶき,たつた、たかほ、まちだ,くさ,90,100,15,物理,非接触,通常攻撃。
パワーウィップ,たかほ,くさ,120,85,10,物理,接触,通常攻撃。
リーフブレード,たつた、たかほ、いっくん,くさ,90,100,15,物理,接触,急所に当たりやすい(急所ランク:+1)。
エナジーボール,たつた、たかほ、れおさん,くさ,90,100,10,特殊,非接触,10%の確率で相手の『とくぼう』ランクを1段階下げる。
ギガドレイン,たつた、たかほ、あゆま、まっちゃん、みっちー、せな、いっくん,くさ,75,100,10,特殊,非接触,相手に与えたダメージの半分だけ自分のHPが回復する。
